split,row_id,label,target_binary,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
validation,cicids1771::1457,BENIGN,0,84,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,142857.1429,23809.52381,84.0,0.0,84,84,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,11904.7619,11904.7619,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,119,255,0,20,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::1604,DDoS,1,707743,3,5,26,11607,20,0,8.666666667,10.26320288,7215,0,2321.4,3327.769794,16436.75741,11.30353815,101106.1429,267099.1965,706830,5,723,361.5,422.1427484,660,63,707694,176923.5,353271.138,706830,5,0,0,0,0,72,112,4.238826806,7.064711343,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
validation,cicids1771::0520,PortScan,1,54,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,148148.1481,37037.03704,54.0,0.0,54,54,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,18518.51852,18518.51852,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::1753,DDoS,1,76255412,8,6,56,11607,20,0,7.0,5.656854249,5840,0,1934.5,2538.919278,152.9465214,0.183593526,5865800.923,18900000.0,68500000,0,76200000,10900000.0,25600000.0,68500000,0,59747,11949.4,26111.89597,58656,9,0,0,0,0,172,132,0.104910587,0.07868294,0,5840,777.9333333,1804.898987,3257660.352,0,0,0,0,1,0,0,0,0,833.5,7.0,1934.5,172,0,0,0,0,0,0,8,56,6,11607,256,229,6,20,5031.0,0.0,5031,5031,38100000.0,43000000.0,68500000,7666787
validation,cicids1771::1396,Web Attack - XSS,1,5308030,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.753575244,1769343.333,3063894.546,5307224,123,5308030,2654015.0,3752204.152,5307224,806,0,0.0,0.0,0,0,0,0,0,0,104,40,0.565181433,0.188393811,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
validation,cicids1771::0904,BENIGN,0,31807,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,377.2754425,62.87924042,31807.0,0.0,31807,31807,31807,31807.0,0.0,31807,31807,0,0.0,0.0,0,0,0,0,0,0,40,0,62.87924042,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,256,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::0847,Web Attack - Brute Force,1,5623932,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.711246153,1874644.0,3246207.04,5623041,136,5623932,2811966.0,3975460.39,5623041,891,0,0.0,0.0,0,0,0,0,0,0,104,40,0.533434615,0.177811538,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::1530,Web Attack - Brute Force,1,5230919,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.764683988,1743639.667,3019319.933,5230050,123,5230919,2615459.5,3697589.345,5230050,869,0,0.0,0.0,0,0,0,0,0,0,104,40,0.573512991,0.191170997,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
test,cicids1771::0139,BENIGN,0,15,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,800000.0,133333.3333,15.0,0.0,15,15,15,15.0,0.0,15,15,0,0.0,0.0,0,0,0,0,0,0,40,0,133333.3333,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,5684,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::0095,BENIGN,0,76241673,13,13,3001,1473,1544,0,230.8461538,550.9942296,764,0,113.3076923,273.0053066,58.68181828,0.341020848,3049666.92,4538691.413,10000000,88,75800000,6314513.5,4803900.952,10100000,354,76200000,6349261.333,4788807.896,10100000,4512,0,0,0,0,272,356,0.170510424,0.170510424,0,1544,165.7037037,423.1671624,179070.4473,0,0,0,1,0,0,0,0,1,172.0769231,230.8461538,113.3076923,272,0,0,0,0,0,0,13,3001,13,1473,8192,94,12,20,67590.375,37813.09074,157709,50300,9404179.875,1655866.357,10000000,5306377
train,cicids1771::1287,BENIGN,0,11616099,10,10,1858,5917,705,0,185.8,244.0231319,1883,0,591.7,717.7577818,669.3296949,1.721748411,611373.6316,2209726.541,9717136,3,1898960,210995.5556,177788.5489,586953,28049,11600000,1285029.111,3278801.947,10000000,3,0,0,0,0,212,212,0.860874206,0.860874206,0,1883,370.2380952,554.0855444,307010.7905,0,0,0,1,0,0,0,0,1,388.75,185.8,591.7,212,0,0,0,0,0,0,10,1858,10,5917,8192,133,9,20,1898960.0,0.0,1898960,1898960,9717136.0,0.0,9717136,9717136
train,cicids1771::0668,PortScan,1,30,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,266666.6667,66666.66667,30.0,0.0,30,30,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,33333.33333,33333.33333,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::1523,Web Attack - Brute Force,1,5270627,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.75892299,1756875.667,3042246.221,5269759,145,5270627,2635313.5,3725668.555,5269759,868,0,0.0,0.0,0,0,0,0,0,0,104,40,0.569192242,0.189730747,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
test,cicids1771::1212,BENIGN,0,97,1,1,6,6,6,6,6.0,0.0,6,6,6.0,0.0,123711.3402,20618.5567,97.0,0.0,97,97,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,10309.27835,10309.27835,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,1,9.0,6.0,6.0,20,0,0,0,0,0,0,1,6,1,6,107,260,0,20,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::1367,DDoS,1,184343,3,5,26,11601,20,0,8.666666667,10.26320288,7300,0,2320.2,3022.508098,63072.64176,43.39736253,26334.71429,64896.29605,173281,3,9988,4994.0,7058.33989,9985,3,184199,46049.75,84940.0375,173281,168,0,0,0,0,72,112,16.27401095,27.12335158,0,7300,1291.888889,2460.652985,6054813.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::0808,BENIGN,0,166,2,2,72,136,36,36,36.0,0.0,68,68,68.0,0.0,1253012.048,24096.38554,55.33333333,55.36545253,114,4,4,4.0,0.0,4,4,48,48.0,0.0,48,48,0,0,0,0,40,40,12048.19277,12048.19277,36,68,48.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,61.0,36.0,68.0,40,0,0,0,0,0,0,2,72,2,136,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::0105,Web Attack - Brute Force,1,5215672,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.766919392,1738557.333,3010655.63,5214963,127,5215672,2607836.0,3687034.362,5214963,709,0,0.0,0.0,0,0,0,0,0,0,104,40,0.575189544,0.191729848,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
test,cicids1771::1121,Web Attack - XSS,1,5027603,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.795607768,1675867.667,2902088.667,5026911,95,5027603,2513801.5,3554073.539,5026911,692,0,0.0,0.0,0,0,0,0,0,0,104,40,0.596705826,0.198901942,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
test,cicids1771::1348,DDoS,1,534131,3,5,26,11601,20,0,8.666666667,10.26320288,5840,0,2320.2,2436.833027,21768.06813,14.97759913,76304.42857,188202.5853,502384,96,31173,15586.5,20199.91942,29870,1303,534032,133508.0,246349.2337,502384,160,0,0,0,0,72,112,5.616599673,9.360999455,0,5840,1291.888889,2110.95076,4456113.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
test,cicids1771::0798,BENIGN,0,5103156,8,5,381,3032,200,0,47.625,74.48477793,1515,0,606.4,804.8069955,668.801816,2.54744319,425263.0,1361035.91,4743344,4,5103156,729022.2857,1772336.053,4743344,4,109778,27444.5,30540.62558,55766,219,0,0,0,0,172,112,1.567657348,0.979785842,0,1515,243.7857143,530.1960709,281107.8736,0,0,0,1,0,0,0,0,0,262.5384615,47.625,606.4,172,0,0,0,0,0,0,8,381,5,3032,8192,110,7,20,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::1141,BENIGN,0,62,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,32258.06452,62.0,0.0,62,62,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,16129.03226,16129.03226,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,332,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0
test,cicids1771::1272,Web Attack - XSS,1,5654491,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.707402311,1884830.333,3264020.887,5653797,125,5654491,2827245.5,3997347.466,5653797,694,0,0.0,0.0,0,0,0,0,0,0,104,40,0.530551733,0.176850578,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::0615,BENIGN,0,60310263,11,13,890,3996,517,0,80.90909091,155.3334829,1448,0,307.3846154,534.7947486,81.0144038,0.397942221,2622185.348,12300000.0,58900000,0,59100000,5907120.8,18600000.0,58900000,3,60300000,5023872.167,17000000.0,58900000,0,0,0,0,0,360,424,0.182390185,0.215552036,0,1448,195.44,409.20391,167447.84,0,0,0,1,0,0,0,0,1,203.5833333,80.90909091,307.3846154,360,0,0,0,0,0,0,11,890,13,3996,29200,287,5,32,141554.0,0.0,141554,141554,58900000.0,0.0,58900000,58900000
test,cicids1771::0365,BENIGN,0,163,2,2,66,166,33,33,33.0,0.0,83,83,83.0,0.0,1423312.883,24539.8773,54.33333333,88.04733575,156,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,64,64,12269.93865,12269.93865,33,83,53.0,27.38612788,750.0,0,0,0,0,0,0,0,0,1,66.25,33.0,83.0,64,0,0,0,0,0,0,2,66,2,166,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::0811,BENIGN,0,48819,2,2,84,214,42,42,42.0,0.0,107,107,107.0,0.0,6104.180749,81.93531207,16273.0,28182.19871,48815,1,1,1.0,0.0,1,1,3,3.0,0.0,3,3,0,0,0,0,64,80,40.96765604,40.96765604,42,107,68.0,35.60196624,1267.5,0,0,0,0,0,0,0,0,1,85.0,42.0,107.0,64,0,0,0,0,0,0,2,84,2,214,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::0158,PortScan,1,104,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,57692.30769,19230.76923,104.0,0.0,104,104,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,9615.384615,9615.384615,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::0328,BENIGN,0,5136888,5,1,135,46,46,6,27.0,20.1246118,46,46,46.0,0.0,35.23534093,1.168022351,1027377.6,2248628.173,5049613,4,5136888,1284222.0,2510500.029,5049613,4,0,0.0,0.0,0,0,1,0,0,0,100,20,0.973351959,0.194670392,6,46,32.42857143,18.86670032,355.952381,0,1,0,0,1,0,0,0,0,37.83333333,27.0,46.0,100,0,0,0,0,0,0,5,135,1,46,253,32,4,20,77813.0,0.0,77813,77813,5049613.0,0.0,5049613,5049613
train,cicids1771::0044,BENIGN,0,23829,2,2,94,256,47,47,47.0,0.0,128,128,128.0,0.0,14687.98523,167.8626883,7943.0,13714.39594,23779,3,3,3.0,0.0,3,3,47,47.0,0.0,47,47,0,0,0,0,64,40,83.93134416,83.93134416,47,128,79.4,44.36552716,1968.3,0,0,0,0,0,0,0,0,1,99.25,47.0,128.0,64,0,0,0,0,0,0,2,94,2,256,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::0714,BENIGN,0,255,2,2,76,140,38,38,38.0,0.0,70,70,70.0,0.0,847058.8235,15686.27451,85.0,105.484596,204,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,80,80,7843.137255,7843.137255,38,70,50.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,63.5,38.0,70.0,80,0,0,0,0,0,0,2,76,2,140,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::0579,BENIGN,0,45935483,13,11,1296,5889,432,0,99.69230769,189.4445322,1963,0,535.3636364,831.6195371,156.4150311,0.52247192,1997194.913,3841598.632,10000000,8,42100000,3512151.75,4831002.416,10000000,349,45900000,4589582.7,4820328.402,10000000,177,0,0,0,0,424,360,0.283005623,0.239466297,0,1963,287.4,597.3402855,356815.4167,0,0,0,1,0,0,0,0,0,299.375,99.69230769,535.3636364,424,0,0,0,0,0,0,13,1296,11,5889,29200,1006,3,32,530371.0,980942.7207,2001785,39483,10000000.0,3878.025303,10000000,10000000
train,cicids1771::0955,BENIGN,0,65473075,14,14,801,3998,424,0,57.21428571,119.8281966,1551,0,285.5714286,550.0824713,73.2973058,0.427656712,2424928.704,4222619.357,10000000,2,60600000,4662883.538,5157934.206,10000000,28547,65400000,5034197.692,4977902.576,10000000,2,0,0,0,0,292,364,0.213828356,0.213828356,0,1551,165.4827586,401.503213,161204.83,0,0,0,1,0,0,0,0,1,171.3928571,57.21428571,285.5714286,292,0,0,0,0,0,0,14,801,14,3998,8192,131,13,20,111212.3333,202824.4611,525226,28258,9991702.0,20451.27064,10000000,9950222
train,cicids1771::0582,DDoS,1,11582833,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,2.590039932,0.431673322,2895708.25,5789411.225,11600000,3,11600000,2895708.25,5789411.225,11600000,3,0,0.0,0.0,0,0,0,0,0,0,100,0,0.431673322,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,3008.0,0.0,3008,3008,11600000.0,0.0,11600000,11600000
train,cicids1771::1646,PortScan,1,71,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,84507.04225,28169.01408,71.0,0.0,71,71,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,14084.50704,14084.50704,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::0427,Web Attack - Brute Force,1,8767055,4,4,602,364,602,0,150.5,301.0,364,0,91.0,182.0,110.1852332,0.912507108,1252436.429,2167453.456,5004553,40,3762502,1254167.333,2168288.743,3757891,919,8766912,2922304.0,2603799.343,5005121,3084,0,0,0,0,136,136,0.456253554,0.456253554,0,602,107.3333333,221.137966,48902.0,0,0,0,1,0,0,0,0,1,120.75,150.5,91.0,136,0,0,0,0,0,0,4,602,4,364,29200,236,1,32,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::0404,BENIGN,0,272,2,2,66,412,33,33,33.0,0.0,206,206,206.0,0.0,1757352.941,14705.88235,90.66666667,150.9779233,265,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,80,80,7352.941176,7352.941176,33,206,102.2,94.75600245,8978.7,0,0,0,0,0,0,0,0,1,127.75,33.0,206.0,80,0,0,0,0,0,0,2,66,2,412,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::0165,Web Attack - XSS,1,5993980,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.667336227,1997993.333,3459930.568,5993177,35,5993980,2996990.0,4237248.291,5993177,803,0,0.0,0.0,0,0,0,0,0,0,104,40,0.500502171,0.166834057,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0
train,cicids1771::1666,BENIGN,0,60054,1,1,53,81,53,53,53.0,0.0,81,81,81.0,0.0,2231.325141,33.30336031,60054.0,0.0,60054,60054,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,16.65168015,16.65168015,53,81,62.33333333,16.16580754,261.3333333,0,0,0,0,0,0,0,0,1,93.5,53.0,81.0,32,0,0,0,0,0,0,1,53,1,81,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
test,cicids1771::0693,BENIGN,0,87188751,2,2,106,250,56,50,53.0,4.242640687,178,72,125.0,74.95331881,4.083095536,0.045877478,29100000.0,50300000.0,87100000,30453,87200000,87200000.0,0.0,87200000,87200000,87100000,87100000.0,0.0,87100000,87100000,0,0,0,0,72,64,0.022938739,0.022938739,50,178,81.2,54.85617559,3009.2,0,0,0,0,0,0,0,0,1,101.5,53.0,125.0,72,0,0,0,0,0,0,2,106,2,250,-1,-1,1,32,60664.0,0.0,60664,60664,87100000.0,0.0,87100000,87100000
